,name,album,artist,release_date,length,popularity,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood,Moods,RF_Results
1067,welcome and goodbye,welcome and goodbye,"Dream, Ivory",2018-03-31,140643,68,0,0,0.673,0.583,0.0196,0.717,0.745,0.0766,-5.212,0.0266,139.995,4,1,Sad,True
1068,MINE,MINE,awfultune,2019-02-12,175354,66,1,1,0.217,0.693,0.845,0.0693,1.14e-06,0.142,-20.707,0.0492,67.448,3,1,Sad,True
1069,Lvr Boy,Lvr Boy,awfultune,2018-04-23,295751,68,6,1,0.0653,0.498,0.949,0.0283,1.76e-06,0.251,-25.021,0.0427,85.473,4,1,Sad,True
1070,A Sad Song About a Girl I No Longer Know,Bedside Kites,Bedside Kites,2018-05-05,328421,58,9,1,0.225,0.444,0.845,0.418,0.00106,0.0747,-12.343,0.0296,81.829,4,1,Sad,True
1071,Interlude: I'm Not Angry Anymore,Paramore,Paramore,2013-04-05,52600,68,7,1,0.235,0.469,0.965,0.309,0.0,0.115,-13.694,0.091,112.412,4,1,Sad,True
1072,In My Head,In My Head,Bedroom,2017-01-12,354663,73,9,1,0.177,0.577,0.168,0.611,0.92,0.106,-13.535,0.0323,150.91,4,1,Sad,True
1073,Nothing Lasts,Grow,Bedroom,2014-05-20,291785,63,10,1,0.185,0.507,0.0116,0.666,0.343,0.129,-8.362,0.029,77.979,4,1,Sad,True
1074,A Different Age,A Different Age,Current Joys,2018-03-02,412418,33,2,1,0.361,0.627,0.638,0.371,0.0672,0.0759,-10.621,0.0269,143.932,4,1,Sad,True
1075,Please,Triplbt Theme,jagger finn,2019-08-28,176407,59,0,1,0.367,0.536,0.00863,0.65,0.85,0.249,-8.625,0.027,112.985,4,1,Sad,True
1076,Pluto Projector,Pony,Rex Orange County,2019-10-25,267520,78,5,1,0.188,0.379,0.707,0.219,0.000691,0.118,-11.196,0.0307,79.786,4,1,Sad,True
1077,Bloom Later,&,Jesse,2017-11-10,160306,67,0,1,0.249,0.513,0.796,0.318,0.0,0.177,-10.451,0.0314,81.923,3,1,Sad,True
1078,Girl of My Dreams,Late Nights and Heartbreak,Guti,2019-12-14,222981,71,10,1,0.0465,0.571,0.777,0.34,0.452,0.0874,-16.194,0.0382,138.705,4,1,Sad,True
1079,The Beach (Instrumental),The Beach (Instrumental),Lil Swervo Jr.,2015-08-24,230835,34,2,0,0.182,0.677,0.8,0.213,0.927,0.0908,-18.224,0.033,136.019,4,1,Sad,True
1080,Inside Out,Stratosphere,Duster,1998-02-24,141040,37,9,1,0.651,0.553,0.837,0.465,0.97,0.102,-9.664,0.0301,79.224,4,1,Sad,True
1081,forgotten,forgotten,Gehen,2021-03-12,118360,55,9,0,0.559,0.591,0.862,0.261,0.949,0.168,-13.301,0.0558,85.92,4,1,Sad,True
1082,I Bet on Losing Dogs,Puberty 2,Mitski,2016-06-17,170240,46,9,1,0.386,0.399,0.0033,0.496,0.00015,0.106,-9.561,0.0303,82.062,4,1,Sad,True
1083,Kids,Kids,Current Joys,2016-10-17,269142,74,6,1,0.904,0.827,0.508,0.66,0.403,0.0756,-9.669,0.0337,113.449,4,1,Sad,True
1084,Looking Out for You,Looking Out for You,Joy Again,2015-11-06,179499,19,9,1,0.937,0.682,0.0884,0.9,0.063,0.0685,-5.028,0.0874,100.721,4,1,Sad,False
1085,Cocaine Sunday,Sensitive G,Eyedress,2018-11-16,168739,66,4,1,0.429,0.545,0.00818,0.765,0.819,0.15,-6.491,0.0259,153.913,4,1,Sad,True
1086,Swing Lynn,I'm Sure,Harmless,2012-08-14,321438,78,2,1,0.477,0.462,0.0536,0.945,0.746,0.11,-1.887,0.0399,165.153,4,1,Sad,True
1087,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290616,78,5,1,0.182,0.37,0.0205,0.467,0.572,0.109,-9.013,0.0273,94.485,4,1,Sad,True
1088,Cigarette Duet,Lil' Golden Book,Princess Chelsea,2011,260013,67,0,0,0.176,0.353,0.326,0.539,0.00141,0.0964,-8.003,0.0283,104.966,4,1,Sad,True
1089,I Love My Boyfriend,The Loneliest Girl,Princess Chelsea,2018-09-07,246777,66,7,0,0.237,0.615,0.353,0.514,0.00145,0.109,-7.65,0.0243,75.67,4,1,Sad,True
1090,Please Notice,Hope,Christian Leave,2016-07-01,116666,74,2,1,0.198,0.55,0.843,0.271,3.21e-06,0.107,-8.451,0.0297,111.344,4,1,Sad,True
1091,Washing Machine Heart,Be the Cowboy,Mitski,2018-08-17,128198,55,9,1,0.581,0.617,0.00999,0.821,0.494,0.426,-4.085,0.026,106.0,4,1,Sad,True
1092,Seventeen,Light & Magic,Ladytron,2002,277866,66,8,1,0.785,0.642,6.98e-05,0.794,0.348,0.146,-7.908,0.0309,119.549,4,1,Sad,True
1093,Little Bit,Youth Novels,Lykke Li,2008-06-02,273426,68,7,1,0.701,0.819,0.158,0.736,0.00161,0.109,-6.504,0.0416,120.318,4,1,Sad,True
1094,K.,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,320030,71,3,1,0.327,0.454,0.139,0.4,0.846,0.137,-10.261,0.0265,93.719,4,1,Sad,True
1095,Sunsetz,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,215150,70,5,1,0.131,0.405,0.0527,0.479,0.795,0.0974,-9.396,0.0301,75.37,4,1,Sad,True
1096,All Alone,All Alone,Acid Ghost,2015-01-30,168648,53,0,1,0.487,0.509,0.693,0.588,0.845,0.115,-9.542,0.0298,171.845,4,1,Sad,True
1097,Why Can't I Have You,Why Can't I Have You,Gloria Laing,2019-06-10,285209,57,7,1,0.229,0.827,0.662,0.195,0.141,0.0987,-17.651,0.0638,137.966,4,1,Sad,True
1098,Another Love,Long Way Down (Deluxe),Tom Odell,2013-06-24,244360,85,4,0,0.131,0.445,0.695,0.537,1.65e-05,0.0944,-8.532,0.04,122.769,4,1,Sad,True
1099,idontwannabeyouanymore,dont smile at me,Billie Eilish,2017-12-22,203569,79,7,1,0.247,0.483,0.737,0.412,0.0,0.116,-8.461,0.0402,170.163,3,1,Sad,True
1100,My Kind of Woman - Instrumental,2 Demos,Mac DeMarco,2013-11-15,212906,31,8,1,0.461,0.286,0.694,0.605,0.86,0.322,-10.941,0.0588,170.088,4,1,Sad,True
1101,Dream Girl - Slowed + Reverb,Dream Girl (Slowed + Reverb),Crisaunt,2021-01-08,191000,59,3,1,0.468,0.922,0.425,0.257,0.177,0.117,-17.462,0.035,111.988,4,1,Sad,True
1102,Space Song,Depression Cherry,Beach House,2015-08-28,320466,74,0,0,0.6,0.507,0.233,0.79,0.139,0.145,-7.307,0.0294,147.065,4,1,Sad,True
1103,Habits (Stay High),Queen Of The Clouds,Tove Lo,2014-09-24,209160,76,5,1,0.348,0.733,0.0703,0.65,6.59e-05,0.0829,-3.539,0.0315,110.003,4,1,Sad,True
1104,Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack,Mamma Mia! The Movie Soundtrack,Cast of Mamma Mia! The Movie,2008-01-01,230893,70,2,1,0.249,0.463,0.507,0.489,0.0,0.165,-7.968,0.0288,140.034,4,1,Sad,True
1105,Bored,Bored,Billie Eilish,2017-03-30,180933,88,7,1,0.112,0.614,0.896,0.318,0.00239,0.0795,-12.695,0.0478,119.959,4,1,Sad,True
1106,Training Wheels,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,205680,75,9,1,0.0807,0.571,0.697,0.481,0.0,0.089,-7.179,0.0444,113.753,4,1,Sad,True
1107,Reflections,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,2018-11-02,244013,73,11,0,0.544,0.648,0.114,0.594,0.0462,0.116,-7.027,0.0293,113.983,4,1,Sad,True
1108,Bubble Gum,Bubble Gum,Clairo,2019-02-22,175960,80,9,1,0.229,0.509,0.979,0.0167,2.72e-05,0.387,-24.639,0.115,207.97,3,1,Sad,True
1109,summer depression,summer depression,girl in red,2018-03-03,151693,70,9,1,0.62,0.691,0.632,0.306,0.479,0.108,-15.651,0.0544,129.929,4,1,Sad,True
1110,Ava,We Fam Econo,Famy,2014-09-08,238240,61,0,1,0.373,0.432,0.0514,0.771,0.0174,0.12,-6.37,0.0383,155.988,4,1,Sad,False
1111,Hold On,Glory Pop 2,Extreme Music,2015-06-19,255498,61,5,0,0.284,0.526,0.0214,0.689,0.0,0.106,-7.733,0.0324,72.93,4,1,Sad,True
1112,Someone To You,Where The Shadow Ends,BANNERS,2019-10-04,219801,80,2,1,0.652,0.52,0.00517,0.903,0.0,0.254,-5.497,0.042,74.988,4,1,Sad,True
1113,Home,Stop Stealing The Covers!,Edith Whiskers,2020-11-13,197360,68,2,1,0.284,0.72,0.981,0.197,0.00187,0.1,-12.494,0.0361,120.024,4,1,Sad,True
1114,I'm Not Angry Anymore,I'm Not Angry Anymore,Warwick Smith,2019-06-14,64687,45,5,1,0.13,0.766,0.808,0.381,0.0,0.0742,-14.211,0.127,100.811,4,1,Sad,True
1115,You're Somebody Else,"Baby, It's Okay",flora cash,2020-03-06,219013,69,1,1,0.226,0.706,0.847,0.46,0.00793,0.106,-9.061,0.0296,102.98,4,1,Sad,True
1116,worldstar money (interlude),In Tongues (Deluxe),Joji,2018-02-14,126312,78,7,1,0.459,0.577,0.964,0.387,0.705,0.208,-8.607,0.274,146.565,1,1,Sad,True
1117,i'll die anyway.,i'll die anyway.,girl in red,2019-07-17,192612,68,0,1,0.172,0.472,0.000427,0.627,0.574,0.0798,-6.895,0.0289,157.909,4,1,Sad,True
1118,Break it off,Break it off,PinkPantheress,2021-03-23,93969,22,11,0,0.644,0.577,0.014,0.788,2.56e-06,0.123,-6.737,0.0977,172.926,4,1,Sad,True
1119,Pain,Pain,PinkPantheress,2021-06-07,98544,79,1,1,0.81,0.829,0.227,0.617,0.00306,0.0618,-8.497,0.14,125.605,4,1,Sad,True
1120,Dust Collector,Analog Noise,YG Hypnos,2018-08-21,168004,57,4,0,0.168,0.667,0.902,0.539,0.828,0.108,-9.161,0.251,79.923,4,1,Sad,True
1121,you not the same - slowed down version,you not the same (slowed down version),TileKid,2021-04-02,159808,56,4,0,0.0366,0.128,0.97,0.04,0.883,0.085,-34.767,0.0442,173.472,4,1,Sad,True
1122,Soap,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,209426,77,6,0,0.213,0.595,0.254,0.689,5.44e-06,0.129,-6.107,0.148,168.112,4,1,Sad,True
1123,Motion Sickness,Stranger in the Alps,Phoebe Bridgers,2017-09-22,229760,48,1,1,0.626,0.652,0.774,0.545,0.0428,0.0847,-9.021,0.0358,107.019,4,1,Sad,True
1124,Unfair,#000000 & #FFFFFF,The Neighbourhood,2014-11-28,146866,74,8,1,0.0414,0.477,0.00708,0.572,0.784,0.144,-7.328,0.0319,194.033,4,1,Sad,True
1125,fall into u,To Whom It May Concern,Oscar Lang,2018-08-17,212000,61,11,0,0.0945,0.307,0.839,0.187,0.569,0.154,-12.181,0.0293,140.724,3,1,Sad,True
1126,The Night We Met,Strange Trails,Lord Huron,2015-04-06,208211,82,2,1,0.102,0.544,0.969,0.369,0.279,0.639,-9.514,0.038,87.01,3,1,Sad,True
1127,we fell in love in october,we fell in love in october / forget her,girl in red,2018-11-21,184153,84,7,1,0.237,0.566,0.113,0.366,0.181,0.155,-12.808,0.028,129.959,4,1,Sad,True
1128,Feel Better,Public Void,Penelope Scott,2020-09-25,252630,72,4,0,0.343,0.594,0.747,0.335,0.0111,0.0976,-13.415,0.0513,87.49,4,1,Sad,True
1129,Look Who’s Inside Again,Inside (The Songs),Bo Burnham,2021-06-10,83421,74,2,1,0.648,0.643,0.761,0.331,0.0,0.373,-9.235,0.0387,160.006,3,1,Sad,True
1130,Dark Red,Dark Red,Steve Lacy,2017-02-20,173104,88,6,1,0.775,0.603,0.449,0.783,7.96e-06,0.119,-4.023,0.062,172.041,4,1,Sad,True
1131,Time Machine,WILLOW,WILLOW,2019-07-19,143640,74,3,1,0.405,0.606,0.44,0.532,0.0,0.132,-6.076,0.0416,81.332,3,1,Sad,True
1132,idfc,dead,blackbear,2015-06-02,207026,83,4,0,0.455,0.718,0.0764,0.422,0.0,0.17,-9.115,0.0621,144.678,4,1,Sad,True
1133,Michelle,Party Favors,Sir Chloe,2020-10-23,214087,75,4,1,0.11,0.366,0.0781,0.439,1.92e-05,0.108,-5.238,0.0298,115.94,3,1,Sad,True
1134,Fear,A Different Age,Current Joys,2018-03-02,216539,64,2,1,0.506,0.716,0.701,0.447,0.429,0.0855,-8.314,0.0388,93.955,4,1,Sad,True
1135,Rät,Public Void,Penelope Scott,2020-09-25,194165,77,5,0,0.304,0.591,0.312,0.45,0.000116,0.147,-13.291,0.26,144.201,4,1,Sad,True
1136,midnight love,if i could make it go quiet,girl in red,2021-04-30,193928,68,2,0,0.259,0.284,0.717,0.538,0.105,0.111,-9.894,0.0886,179.708,3,1,Sad,True
1137,This Is Home,This Is Home,Cavetown,2015-08-03,226073,76,7,1,0.211,0.811,0.56,0.266,1.05e-06,0.0962,-12.478,0.0406,130.044,4,1,Sad,True
1138,As the World Caves In,As the World Caves In,Matt Maltese,2017-03-06,218754,77,10,1,0.18,0.331,0.365,0.45,0.00464,0.22,-5.362,0.034,123.829,4,1,Sad,True
1139,YEAH RIGHT,BALLADS 1,Joji,2018-10-26,174357,79,1,1,0.204,0.672,0.619,0.588,0.241,0.0992,-9.573,0.133,169.033,4,1,Sad,True
1140,Romantic Lover,Let's Skip to the Wedding,Eyedress,2020-08-07,86739,78,9,0,0.537,0.657,0.701,0.447,0.924,0.198,-9.299,0.087,184.315,4,1,Sad,True
1141,Telephones,Changes,Vacations,2018-03-25,212432,72,2,1,0.183,0.526,0.00283,0.447,0.0301,0.109,-9.268,0.0274,74.995,4,1,Sad,True
1142,For the First Time,This Old Dog,Mac DeMarco,2017-05-05,182306,79,5,0,0.521,0.551,0.296,0.529,0.0093,0.178,-10.469,0.0517,75.515,4,1,Sad,True
1143,Something About You,Mulholland Drive,Eyedress,2021-08-27,153312,73,9,0,0.822,0.648,0.0332,0.781,0.013,0.305,-8.736,0.0271,133.417,4,1,Sad,True
1144,Advice,Trick,Alex G,2012-11-05,157973,60,10,1,0.272,0.356,0.000183,0.611,0.867,0.127,-5.71,0.0289,170.073,4,1,Sad,True
1145,Poison Tree,Inca Ore / Grouper,Grouper / Inca Ore,2008-06-03,196893,68,11,1,0.24,0.368,0.965,0.143,0.946,0.107,-22.593,0.0317,110.906,4,1,Sad,True
1146,Stars Will Fall,Capsule Losing Contact,Duster,2019-03-22,118160,64,9,1,0.0741,0.432,0.94,0.13,0.965,0.106,-13.076,0.0282,96.41,4,1,Sad,True
1147,Constellations,Stratosphere,Duster,1998-02-24,223200,59,2,1,0.144,0.865,0.897,0.326,0.854,0.109,-12.607,0.0644,110.328,4,1,Sad,True
1148,All I Want,In A Perfect World (Expanded Edition),Kodaline,2013-06-17,305746,82,0,1,0.159,0.188,0.174,0.411,0.153,0.0843,-9.733,0.0484,187.376,3,1,Sad,True
1149,Can We Kiss Forever?,Can We Kiss Forever?,Kina,2018-08-31,187931,79,4,1,0.124,0.522,0.894,0.128,0.026,0.0941,-18.717,0.0357,109.986,4,1,Sad,True
1150,someone who'll care,someone who'll care,luca.,2021-10-21,164500,46,10,1,0.147,0.434,0.615,0.299,0.00121,0.0682,-12.924,0.0288,109.904,4,1,Sad,True
1151,To Build A Home,Ma Fleur,The Cinematic Orchestra,2007-05-07,371320,74,9,1,0.0735,0.264,0.885,0.122,0.349,0.094,-15.399,0.0349,148.658,4,1,Sad,True
1152,WANT U BAD,WANT U BAD,Valera,2021-10-28,133370,44,5,1,0.376,0.702,0.266,0.425,0.243,0.135,-12.442,0.09,135.001,4,1,Sad,True
1153,Clouds,Clouds,Before You Exit,2016-12-14,271846,60,6,1,0.259,0.407,0.921,0.175,2.45e-06,0.0896,-13.874,0.0347,79.763,3,1,Sad,True
1154,Broken,Songs I Wrote in My Bedroom,Anson Seabra,2020-05-08,305675,66,6,1,0.234,0.481,0.956,0.0759,0.0,0.154,-14.2,0.0601,98.979,4,1,Sad,True
1155,Changes,Changes,Hayd,2020-11-13,214814,47,6,1,0.29,0.648,0.939,0.115,3.88e-05,0.11,-17.133,0.0445,119.967,4,1,Sad,True
1156,Better Now,Better Now,ORYL,2021-08-05,130645,51,9,1,0.177,0.428,0.814,0.418,0.0354,0.124,-10.602,0.0449,139.307,3,1,Sad,True
1157,If By Chance,Safe Haven,Ruth B.,2017-05-05,303653,71,10,1,0.256,0.405,0.881,0.279,0.0,0.0933,-8.099,0.0334,119.85,4,1,Sad,True
1158,I Need U,Worn Out Heart,yaeow,2020-06-11,142588,66,9,1,0.072,0.402,0.513,0.405,0.0167,0.155,-12.486,0.0713,84.873,4,1,Sad,True
1159,Where's My Love,SYML,SYML,2019-05-03,202009,78,0,0,0.365,0.608,0.854,0.358,0.0186,0.113,-10.018,0.0253,103.94,4,1,Sad,True
1160,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,2018-10-08,179080,81,1,0,0.0895,0.498,0.72,0.235,0.0,0.144,-16.541,0.188,118.917,4,1,Sad,True
1161,listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,242652,77,0,1,0.082,0.319,0.935,0.0561,0.00384,0.388,-23.023,0.045,79.764,3,1,Sad,True
1162,Say Goodbye,Say Goodbye,Monty Datta,2019-06-19,150415,68,3,1,0.123,0.706,0.468,0.297,0.0,0.0725,-13.652,0.132,104.049,4,1,Sad,True
1163,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290616,0,5,1,0.177,0.369,0.0211,0.465,0.6,0.109,-9.017,0.0277,94.435,4,1,Sad,True
1164,You Broke My Heart Again,You Broke My Heart Again,Teqkoi,2018-10-13,103400,71,3,1,0.224,0.55,0.956,0.143,0.0,0.195,-15.685,0.241,74.918,4,1,Sad,True
1165,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,209273,84,3,1,0.284,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,4,1,Sad,True
1166,Baby You're Worth It,Baby You're Worth It,Kina,2018-06-13,130925,69,2,1,0.264,0.695,0.685,0.253,0.14,0.105,-15.884,0.0461,120.033,4,1,Sad,True
1167,Please Never Fall in Love Again,Songs from the Swamp,Ollie MN,2017-09-24,154000,67,10,1,0.293,0.646,0.838,0.0828,1.2e-05,0.0934,-16.205,0.0435,108.826,4,1,Sad,True
1168,Space Song,Depression Cherry,Beach House,2015-08-28,320466,71,0,0,0.625,0.509,0.218,0.79,0.125,0.144,-7.105,0.0293,147.073,4,1,Sad,True
1169,savior,savior,Beowülf,2021-02-15,110943,62,11,1,0.18,0.824,0.848,0.185,0.0638,0.119,-21.059,0.0637,106.004,4,1,Sad,True
1170,goodbye to a world (i'll say goodbye soon),goodbye to a world (i'll say goodbye soon),lofi.sad,2021-10-25,258622,46,5,1,0.211,0.421,0.933,0.194,0.62,0.1,-24.314,0.0505,90.256,4,1,Sad,True
1171,Robin Hood,Robin Hood,Anson Seabra,2018-09-21,221538,67,4,1,0.324,0.731,0.952,0.153,0.0,0.134,-14.409,0.0562,78.072,4,1,Sad,True
1172,don't wanna be too forward,don't wanna be too forward,luca.,2021-05-28,154101,47,9,0,0.0792,0.547,0.853,0.206,0.127,0.0837,-17.893,0.0358,128.096,4,1,Sad,True
1173,Closure,Closure,Hayd,2021-04-01,196277,43,2,1,0.35,0.696,0.967,0.106,0.0,0.292,-16.185,0.0458,124.168,4,1,Sad,True
1174,Sunset/Sunrise,Sunset/Sunrise,Snøw,2018-06-29,87353,67,10,1,0.183,0.753,0.903,0.24,0.000451,0.109,-12.095,0.0458,77.993,4,1,Sad,True
1175,Drowning,Drowning,Ondi Vil,2018-03-20,100894,55,6,1,0.218,0.67,0.722,0.462,8.52e-06,0.0785,-8.3,0.274,94.753,4,1,Sad,True
1176,Hold On,Hold On,Chord Overstreet,2017-02-03,198853,81,2,1,0.167,0.618,0.469,0.443,0.0,0.0829,-9.681,0.0526,119.949,4,1,Sad,True
1177,Hold Me (feat. Mishaal),How To Kill A Rockstar,MASN,2020-08-21,220121,50,5,0,0.519,0.791,0.467,0.372,0.0,0.337,-8.365,0.0752,126.071,4,1,Sad,True
1178,Nobody Cares,Nobody Cares,Kina,2018-03-05,175229,66,4,0,0.0833,0.657,0.725,0.159,0.73,0.279,-15.618,0.0395,100.018,4,1,Sad,True
1179,scared,brent,Jeremy Zucker,2019-05-03,207520,68,5,1,0.347,0.583,0.933,0.075,1.4e-06,0.111,-15.843,0.0726,108.418,4,1,Sad,True
1180,As the World Caves In,Bad Contestant,Matt Maltese,2018-06-08,218754,71,10,1,0.179,0.327,0.369,0.449,0.00444,0.22,-5.362,0.034,123.969,4,1,Sad,True
1181,It'll Be Alright,It'll Be Alright,Teqkoi,2019-07-03,133565,58,1,1,0.313,0.84,0.564,0.186,0.0,0.145,-14.994,0.0851,115.025,4,1,Sad,True
1182,Was I Not Good Enough?,Lonely,omarr,2019-04-10,145669,53,1,1,0.111,0.642,0.943,0.251,0.0013,0.265,-13.259,0.0633,127.024,4,1,Sad,True
1183,Alone,Alone,SadBoyProlific,2018-11-10,160104,67,9,1,0.436,0.87,0.481,0.341,0.0027,0.329,-14.15,0.439,119.054,4,1,Sad,True
1184,Worst of You,Worst of You,Maisie Peters,2018-05-11,197369,64,4,1,0.351,0.741,0.558,0.466,0.0,0.0583,-7.258,0.0357,102.058,4,1,Sad,True
1185,"always, and forever (with my little sister)",don't overthink it,yaeow,2021-09-17,98666,47,10,1,0.0761,0.576,0.882,0.408,0.765,0.182,-13.33,0.0303,90.058,4,1,Sad,True
1186,good things don’t last,disconnected,Swik,2021-08-05,254476,44,4,0,0.139,0.275,0.664,0.314,0.168,0.116,-12.634,0.0336,80.477,4,1,Sad,True
1187,I Don't Sleep,I Don't Sleep,Sarcastic Sounds,2018-01-19,105142,63,6,0,0.258,0.774,0.105,0.352,0.741,0.348,-13.13,0.214,80.51,4,1,Sad,True
1188,"I miss you, I’m sorry","I miss you, I’m sorry",Gracie Abrams,2020-04-08,167538,0,7,1,0.161,0.617,0.734,0.451,1.56e-06,0.128,-6.096,0.0481,109.757,4,1,Sad,True
1189,Free With You,Free With You,Rnla,2020-02-22,168038,58,3,1,0.132,0.708,0.907,0.356,0.0607,0.125,-11.53,0.0501,80.036,4,1,Sad,True
1190,When I'm No Longer Here,When I'm No Longer Here,yaeow,2020-07-02,159360,0,1,0,0.517,0.779,0.613,0.288,0.00443,0.105,-12.991,0.447,124.897,4,1,Sad,True
1191,Someone You Loved,Breach,Lewis Capaldi,2018-11-08,182160,76,1,1,0.446,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,109.891,4,1,Sad,True
1192,what about me - slowed n reverb,what about me (slowed n reverb),lofi.sad,2021-11-06,181159,49,1,1,0.391,0.369,0.677,0.41,0.0,0.281,-10.903,0.0303,133.291,4,1,Sad,True
1193,That's Us,Songs I Wrote in My Bedroom,Anson Seabra,2020-05-08,270461,68,10,1,0.204,0.621,0.968,0.108,1.67e-05,0.137,-15.399,0.0493,129.285,4,1,Sad,True
1194,Scars,Scars,Ondi Vil,2018-05-21,96190,56,7,0,0.202,0.475,0.872,0.395,0.86,0.0926,-15.182,0.265,173.946,3,1,Sad,True
1195,Goodbyes (feat. Young Thug),Hollywood's Bleeding,Post Malone,2019-09-06,174853,78,5,1,0.163,0.548,0.456,0.653,0.0,0.103,-3.875,0.081,150.068,4,1,Sad,True
1196,One More Time,One More Time,yaeow,2020-04-01,151384,52,10,1,0.191,0.623,0.877,0.242,0.000745,0.208,-15.055,0.0698,129.907,4,1,Sad,True
1197,Walked Through Hell,Walked Through Hell,Anson Seabra,2020-11-20,216864,72,10,1,0.129,0.508,0.664,0.404,0.0,0.104,-11.092,0.0788,81.713,4,1,Sad,True
1198,Sweater Weather,Kurt & Company Vol 2,Kurt Hugo Schneider,2017-06-16,228387,68,10,1,0.393,0.606,0.876,0.328,0.0,0.138,-7.824,0.0305,124.041,4,1,Sad,True
1199,the day i died,the day i died,the bootleg boy,2020-02-28,134020,59,11,1,0.198,0.59,0.726,0.443,6.11e-06,0.387,-11.408,0.0466,120.025,4,1,Sad,True
1200,Hate Me!,How To Kill A Rockstar,MASN,2020-08-21,154756,68,6,1,0.356,0.683,0.659,0.628,0.0,0.106,-6.512,0.123,142.06,4,1,Sad,True
1201,Ghost (feat. Ivri),Ghost (feat. Ivri),Roderick Porter,2019-01-07,166624,61,11,1,0.336,0.673,0.688,0.376,0.548,0.45,-14.029,0.0407,118.033,4,1,Sad,True
1202,could cry just thinkin about you,could cry just thinkin about you (Full Version),Troye Sivan,2021-07-09,158000,67,6,1,0.188,0.515,0.318,0.323,0.0,0.106,-11.05,0.0429,147.972,4,1,Sad,True
1203,Smoking for the Aesthetic,Smoking for the Aesthetic,Avery Grey,2018-09-14,181299,50,2,0,0.474,0.792,0.949,0.394,0.0,0.107,-12.917,0.435,164.081,4,1,Sad,True
1204,self destructive,anywhere else but here.,Vorsa,2020-09-24,194543,54,4,1,0.266,0.299,0.311,0.495,0.0,0.209,-7.297,0.0431,74.975,3,1,Sad,True
1205,A Lost Promise,A Lost Promise,Shae Delea,2019-07-23,151052,43,6,1,0.237,0.589,0.876,0.402,8.1e-06,0.253,-11.456,0.0378,120.087,4,1,Sad,True
1206,I never wanna lose you,I never wanna lose you,Teqkoi,2019-02-25,151920,58,11,0,0.148,0.725,0.525,0.398,0.000326,0.112,-13.445,0.0754,130.051,4,1,Sad,True
1207,The Wisp Sings,The Wisp Sings,Winter Aid,2013-11-11,313252,72,4,1,0.0479,0.521,0.988,0.0889,0.182,0.0965,-19.457,0.0507,115.43,4,1,Sad,True
1208,Screams and Dreams,Screams and Dreams,Faye,2018-08-19,257812,1,0,1,0.122,0.417,0.944,0.0362,3e-06,0.0729,-16.486,0.0413,78.045,4,1,Sad,True
1209,free love - dream edit,nswy: dream edits,HONNE,2020-11-12,249944,52,8,1,0.139,0.67,0.939,0.22,7.61e-05,0.111,-10.214,0.0422,119.604,4,1,Sad,True
1210,Vas,Triplbt Theme,jagger finn,2019-08-28,90323,77,0,1,0.416,0.514,0.918,0.424,0.849,0.126,-10.645,0.0282,71.114,4,1,Sad,True
1211,don't cry,don't cry,sadeyes,2020-01-01,138007,59,9,1,0.533,0.789,0.635,0.685,0.0,0.0843,-10.596,0.914,160.04,4,1,Sad,True
1212,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)","Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",Sista Prod,2020-08-13,156187,69,6,1,0.507,0.702,0.686,0.616,0.0,0.145,-4.903,0.326,80.482,4,1,Sad,True
1213,D2M,D2M,Vorsa,2021-05-13,178760,45,11,1,0.645,0.877,0.421,0.62,0.0,0.379,-4.353,0.0577,120.01,4,1,Sad,True
1214,You're Everything I Need,You're Everything I Need,Imfinenow,2020-03-26,198000,47,5,1,0.527,0.569,0.93,0.555,0.745,0.0929,-10.23,0.0473,80.0,4,1,Sad,True
1215,don't fall asleep yet,don't fall asleep yet,Powfu,2020-02-05,146666,56,9,1,0.15,0.733,0.707,0.402,0.0,0.111,-8.774,0.0337,108.005,4,1,Sad,True
1216,don't give up,my first songs,yaeow,2020-05-22,114857,52,11,0,0.513,0.671,0.84,0.295,0.00168,0.36,-15.412,0.166,140.159,4,1,Sad,True
1217,Baby I'm Falling,Baby I'm Falling,Teqkoi,2019-10-19,154285,47,1,0,0.374,0.666,0.182,0.257,1.08e-05,0.407,-16.552,0.202,140.071,4,1,Sad,True
